cluster_id,region,annual_opex,annual_revenue,payback_base_years,CAPEXC,CAPEXB,CAPEXO
226,Mainland,4069832.0,21341669.44,7.2,142090588.64,123557033.6,111201330.24
227,Mainland,1874860.0,5915551.2,8.5,39385117.2,34247928.0,30823135.2
228,Mainland,3537664.0,14466058.88,7.7,96313497.28,83750867.2,75375780.48
229,Mainland,767728.0,1521045.76,11.7,10126962.56,8806054.4,7925448.96
230,Mainland,2215044.0,10310728.48,7.4,68647744.88,59693691.2,53724322.08
231,Mainland,3668964.0,16162454.88,7.5,107607923.28,93572107.2,84214896.48
232,Mainland,3959852.0,19920727.84,7.2,132630109.04,115330529.6,103797476.64
233,Mainland,2334540.0,11854616.8,7.2,78926790.8,68631992.0,61768792.8
234,Mainland,3790872.8,17737516.58,7.4,118094518.26,102690885.44,92421796.9
235,Mainland,1708895.3,3771287.31,10.6,25108833.91,21833768.62,19650391.76
236,Mainland,4088147.13,21578300.89,7.1,143666055.95,124927005.17,112434304.66
237,Mainland,4149104.08,22365864.66,7.1,148909572.62,129486584.88,116537926.4
238,Mainland,2189844.8,9985154.82,7.4,66480109.7,57808791.04,52027911.94
239,Mainland,880755.2,2981357.18,8.2,19849562.3,17260488.96,15534440.06
240,Mainland,6509464.0,41440434.88,6.9,275906053.28,239918307.2,215926476.48
241,Mainland,4356352.0,25043507.84,7.0,166737039.04,144988729.6,130489856.64
242,Mainland,1786148.0,4769392.16,9.3,31754110.96,27612270.4,24851043.36
243,Mainland,2084368.0,8622394.56,7.6,57406995.36,49919126.4,44927213.76
244,Mainland,758004.0,1395411.68,12.7,9290504.08,8078699.2,7270829.28
245,Mainland,701367.68,663670.43,,4418647.83,3842302.46,3458072.22
246,Mainland,2107872.0,8926066.24,7.6,59428809.44,51677225.6,46509503.04
247,Mainland,1913002.46,6408351.75,8.3,42666131.4,37100983.83,33390885.45
248,Mainland,841661.6,2476267.87,8.8,16486730.83,14336287.68,12902658.91
249,Mainland,741728.0,1185125.76,15.5,7890442.56,6861254.4,6175128.96
250,Mainland,2278380.0,11129029.6,7.3,74095907.6,64431224.0,57988101.6
251,Mainland,3822468.0,18145726.56,7.3,120812337.36,105054206.4,94548785.76
252,Mainland,3815125.6,18050862.75,7.3,120180744.11,104504994.88,94054495.39
253,Mainland,4385576.0,25421081.92,7.0,169250887.52,147174684.8,132457216.32
254,Mainland,3475004.0,13656491.68,7.8,90923484.08,79063899.2,71157509.28
255,Mainland,4313244.0,24486552.48,7.0,163028888.88,141764251.2,127587826.08
256,Mainland,820664.0,2204978.88,9.2,14680517.28,12765667.2,11489100.48
257,Mainland,1769695.2,4556821.98,9.5,30338841.1,26381600.96,23743440.86
258,Mainland,3478228.0,13698145.76,7.8,91200812.56,79305054.4,71374548.96
259,Mainland,2167360.0,9694651.2,7.5,64545967.2,56126928.0,50514235.2
260,Mainland,3647072.0,15879610.24,7.5,105724773.44,91934585.6,82741127.04
261,Mainland,2349256.0,12044747.52,7.2,80192661.12,69732748.8,62759473.92
262,Mainland,1949220.0,6876282.4,8.1,45781564.4,39810056.0,35829050.4
263,Mainland,1811326.92,5094703.81,9.0,33920001.66,29495653.62,26546088.25
264,Mainland,1979380.0,7265949.6,8.0,48375927.6,42066024.0,37859421.6
265,Mainland,2263196.0,10932852.32,7.3,72789779.92,63295460.8,56965914.72
266,Mainland,3517748.0,14208744.16,7.7,94600322.96,82261150.4,74035035.36
267,Mainland,2042248.0,8078204.16,7.7,53783832.96,46768550.4,42091695.36
268,Mainland,6015776.0,35061985.92,7.0,233439011.52,202990444.8,182691400.32
269,Mainland,5883852.0,33357527.84,7.0,222090909.04,193122529.6,173810276.64
270,Mainland,3904160.0,19201187.2,7.3,127839483.2,111164768.0,100048291.2
271,Mainland,1980108.0,7275355.36,8.0,48438550.16,42120478.4,37908430.56
272,Mainland,3575520.0,14955158.4,7.6,99569870.4,86582496.0,77924246.4
